sector,market_cap,revenue,company,company_id,n_employee,state,headoffice_address,lat,lng
Leisure & Hotels,10661,6055,NORWEGIAN CRUISE LINE HOLDINGS LTD,1925428,33200,Florida FL,7665 Corporate Center Drive Miami  Florida FL 33126 United States,25.7916996,-80.3203532
Utilities - Other,10656,3691,PINNACLE WEST CAPITAL CORP,24493,6259,Arizona AZ,400 North Fifth Street Post Box 53999 Phoenix Arizona AZ 85072-3999 United States,33.4524822,-112.0679337
Transport,10594,8615,HUNT(J.B.)TRANSPORT SERVICES INC,15223,27621,Arkansas AR,615 JB Hunt Corporate Drive Lowell  Arkansas AR 72745 -0130 United States,36.2455249,-94.1477949
Beverages,10467,13338,MOLSON COORS BREWING CO,7847,7300,Colorado CO,1801 California Street Suite 4600 Denver Colorado CO 80202 United States,39.7475235,-104.9898868
Speciality & Other Finance,10380,7476,RAYMOND JAMES FINANCIAL INC,25808,13900,Florida FL,880 Carillon Parkway Saint Petersburg  Florida FL 33716 United States,27.8925726,-82.6702701
General Retailers,10331,4442,TIFFANY & CO,30723,14200,New York NY,727 Fifth Avenue   New York NY 10022 United States,40.7626931,-73.9739144
Software & Computer Services,10297,701,DOCUSIGN INC,2811194,3023,California CA,221 Main Street Suite 1000 San Francisco California CA 94105 United States,37.7903878,-122.3922586
Pharmaceuticals and Biotechnology,10257,91,GUARDANT HEALTH INC,2923866,454,California CA,505 Penobscot Drive Redwood City  California CA 94063 United States,37.500696,-122.2181572
Engineering & Machinery,10253,3884,LENNOX INTERNATIONAL INC,18705,11350,Texas TX,2140 Lake Park Boulevard Richardson  Texas TX 75080 United States,32.9817034,-96.7602875
Software & Computer Services,10235,1843,EPAM SYSTEMS INC,1796199,30156,Pennsylvania PA,41 University Drive Suite 202 Newtown Pennsylvania PA 18940 United States,40.2227953,-74.9058054
Insurance,10214,1692,ERIE INDEMNITY CO,10960,5300,Pennsylvania PA,100 Erie Insurance Place Erie  Pennsylvania PA 16530 United States,42.130601,-80.083889
Software & Computer Services,10206,1032,FAIR ISAAC CORP ,11499,3668,California CA,181 Metro Drive Suite 700 San Jose California CA 95110 1346 United States,37.3685081,-121.9186616
Insurance,10204,16424,LINCOLN NATIONAL CORP,18908,11034,Pennsylvania PA,150 North Radnor Chester Road Suite A305 Radnor Pennsylvania PA 19087 United States,40.0430349,-75.3658121
Electricity,10097,10736,AES CORP,979,,Virginia VA,4300 Wilson Boulevard 11th Floor Suite 1100 Arlington Virginia VA 22203 United States,38.879629,-77.1126498
Pharmaceuticals and Biotechnology,10096,1717,WEST PHARMACEUTICAL SERVICES INC ,33314,7700,Pennsylvania PA,530 Herman O West Drive Exton  Pennsylvania PA 19341-0645 United States,40.061479,-75.6805357
Insurance,10081,2014,BROWN & BROWN INC ,5204,9590,Florida FL,220 South Ridgewood Avenue Daytona Beach  Florida FL 32114 United States,29.2079416,-81.0217059
Utilities - Other,10044,7651,UGI CORP,31620,13000,Pennsylvania PA,460 North Gulph Road King of Prussia  Pennsylvania PA 19406 United States,40.0885655,-75.4070669
Consumer Services,9943,3067,ELANCO ANIMAL HEALTH INC,2918725,5590,Indiana IN,2500 Innovation Way Greenfield  Indiana IN 46140 United States,39.8223751,-85.7729185
Business Services,9894,935,TYLER TECHNOLOGIES INC,31558,4525,Texas TX,5101 Tennyson Parkway Plano  Texas TX 75024 United States,33.0657811,-96.8022754
Oil & Gas,9889,10734,DEVON ENERGY CORP,9103,2900,Oklahoma OK,333 West Sheridan Avenue Oklahoma City  Oklahoma OK 73102-5015 United States,35.4669418,-97.5177018
Pharmaceuticals and Biotechnology,9887,301,SAREPTA THERAPEUTICS INC ,3218,499,Massachusetts MA,215 First Street Suite 415 Cambridge Massachusetts MA 02142 United States,42.364292,-71.0792115
Automobiles & Parts,9818,9581,ADVANCE AUTO PARTS INC,95856,71000,North Carolina NC,2635 East Millbrook Road Raleigh  North Carolina NC 27604 United States,35.8489258,-78.5921791
Real Estate,9767,898,VICI PROPERTIES INC,2771146,140,New York NY,430 Park Avenue 8th Floor  New York NY 10022 United States,40.7607986,-73.9717622
Business Services,9728,6704,BOOZ ALLEN HAMILTON HOLDING CORP,1672856,26100,Virginia VA,8283 Greensboro Drive McLean  Virginia VA 22102 United States,38.9223346,-77.2323425
Health,9710,2919,VARIAN MEDICAL SYSTEMS INC,32375,7174,California CA,3100 Hansen Way Palo Alto  California CA 94304-1038 United States,37.4170321,-122.1428778
Speciality & Other Finance,9706,2873,E*TRADE FINANCIAL CORP ,11117,4000,New York NY,11 Times Square   New York NY 10036 United States,40.7567252,-73.9896231
Leisure & Hotels,9705,15790,ARAMARK ,2022894,274400,Pennsylvania PA,Aramark Tower 1101 Market Street Philadelphia Pennsylvania PA 19107 United States,39.9521671,-75.1584143
Pharmaceuticals and Biotechnology,9681,,AVANTOR INC,3033152,,Pennsylvania PA,Radnor Corporate Center Building One Suite 200 100 Matsonford Road Radnor Pennsylvania PA 19087 United States,40.0480982,-75.3554186
Banks,9672,3595,COMERICA INC,7401,8051,Texas TX,Comerica Bank Tower 1717 Main Street MC 6404 Dallas Texas TX 75201 United States,32.7815695,-96.7964548
Pharmaceuticals and Biotechnology,9667,600,IONIS PHARMACEUTICALS INC ,17053,737,California CA,2855 Gazelle Court Carlsbad  California CA 92010 United States,33.1418497,-117.2520877
Software & Computer Services,9564,20753,DXC TECHNOLOGY CO ,7584,130000,Virginia VA,1775 Tysons Boulevard Tysons  Virginia VA 22102 United States,38.9235896,-77.2204864
Health,9537,2289,BIO RAD LABORATORIES INC,4311,8260,California CA,1000 Alfred Nobel Drive Hercules  California CA 94547 United States,38.023058,-122.279823
Electronic & Electrical Equipment,9515,3108,TRIMBLE INC ,31326,11287,California CA,935 Stewart Drive Sunnyvale  California CA 94085 United States,37.384933,-122.0055115
Real Estate,9495,1258,VEREIT INC ,1722356,180,Arizona AZ,2325 East Camelback Road Suite 1100 Phoenix Arizona AZ 85016 United States,33.5085561,-112.0317082
Utilities - Other,9493,838,AQUA AMERICA INC ,24338,1570,Pennsylvania PA,762 West Lancaster Avenue Bryn Mawr  Pennsylvania PA 19010 - 3489 United States,40.0202242,-75.3163591
Electronic & Electrical Equipment,9366,2778,PERKINELMER INC ,24183,12500,Massachusetts MA,940 Winter Street Waltham  Massachusetts MA 02451 United States,42.4047616,-71.2742976
Insurance,9359,4304,GLOBE LIFE INC ,30937,3102,Texas TX,3700 South Stonebridge Drive McKinney  Texas TX 75070 United States,33.1717418,-96.7284935
Leisure & Hotels,9289,3433,DOMINO'S PIZZA INC,90132,14500,Michigan MI,30 Frank Lloyd Wright Drive Ann Arbor  Michigan MI 48105 United States,42.318938,-83.6812822
Health,9277,13202,HENRY SCHEIN INC,14669,18000,New York NY,135 Duryea Road Melville  New York NY 11747 United States,40.7677851,-73.4175607
Electronic & Electrical Equipment,9262,21037,WHIRLPOOL CORP,33437,92000,Michigan MI,2000 North M-63 Benton Harbor  Michigan MI 49022-2692 United States,42.1507583,-86.4419435
Speciality & Other Finance,9254,1114,BLACK KNIGHT INC ,2287416,4700,Florida FL,601 Riverside Avenue Jacksonville  Florida FL 32204 United States,30.3184009,-81.6762696
Speciality & Other Finance,9177,7134,SANTANDER CONSUMER USA HOLDINGS INC,2037422,4952,Texas TX,1601 Elm Street Suite 800 Dallas Texas TX 75201 United States,32.7819269,-96.798179
Electronic & Electrical Equipment,9161,247,UNIVERSAL DISPLAY CORP INC (UDC),31857,267,New Jersey NJ,375 Phillips Boulevard Ewing  New Jersey NJ 08618 United States,40.2843133,-74.7959681
Business Services,9143,8047,UNITED RENTALS INC,32144,18500,Connecticut CT,100 First Stamford Place Suite 700 Stamford Connecticut CT 06902 United States,41.0443102,-73.5486083
Consumer Services,9054,1903,BRIGHT HORIZONS FAMILY SOLUTIONS INC,1927870,33350,Massachusetts MA,200 Talcott Avenue South Watertown  Massachusetts MA 02472 United States,42.3623876,-71.1637432
Electricity,8997,9478,NRG ENERGY INC,22626,4862,New Jersey NJ,804 Carnegie Center Princeton  New Jersey NJ 08540 United States,40.3195041,-74.6554825
Speciality & Other Finance,8970,1286,CREDIT ACCEPTANCE CORP,8183,2040,Michigan MI,25505 West Twelve Mile Road Southfield  Michigan MI 48034-8339 United States,42.4999782,-83.2971696
Banks,8924,5590,WESTERN UNION CO,840164,12000,Colorado CO,7001 East Belleview Avenue Denver  Colorado CO 80237 United States,39.6247213,-104.9045807
Engineering & Machinery,8896,8176,HUNTINGTON INGALLS INDUSTRIES INC,1694757,40000,Virginia VA,4101 Washington Avenue Newport News  Virginia VA 23607 United States,36.9880862,-76.4371019
Electronic & Electrical Equipment,8888,2101,TERADYNE INC,30437,4900,Massachusetts MA,600 Riverpark Drive North Reading  Massachusetts MA 01864 United States,42.5561214,-71.1350329
Real Estate,8880,882,OMEGA HEALTHCARE INVESTORS INC,23092,51,Maryland MD,303 International Circle Suite 200 Hunt Valley Maryland MD 21030 United States,39.5000623,-76.6659415
Private Equity,8821,2610,APOLLO GLOBAL MANAGEMENT INC ,1695757,1047,New York NY,9 West 57th Street 43rd Floor  New York NY 10019 United States,40.7637696,-73.975023
Chemicals,8722,5565,RPM INTERNATIONAL INC ,26668,14957,Ohio OH,Post Office Box 777 2628 Pearl Road Medina Ohio OH 44258 United States,41.1423077,-81.864479
Food Producers & Processors,8719,,BEYOND MEAT INC,3027499,383,California CA,119 Standard Street El Segundo  California CA 90245 United States,33.9169885,-118.4149374
Real Estate,8680,1949,AGNC INVESTMENT CORP ,1066214,56,Maryland MD,2 Bethesda Metro Center 12th Floor Bethesda Maryland MD 20814 United States,38.9844536,-77.0959962
Software & Computer Services,8595,260,COUPA SOFTWARE INC,2538518,1202,California CA,1855 South Grant Street San Mateo  California CA 94402 United States,37.5534897,-122.2995235
Consumer Services,8573,3190,SERVICE CORPORATION INTERNATIONAL,27663,24000,Texas TX,1929 Allen Parkway Houston  Texas TX 77019 United States,29.7606136,-95.3868592
Oil & Gas,8560,1495,EQM MIDSTREAM PARTNERS LP ,1828871,,Pennsylvania PA,625 Liberty Avenue Suite 2000 Pittsburgh Pennsylvania PA 15222 United States,40.4424701,-80.0009554
Real Estate,8522,541,STORE CAPITAL CORP,2167675,90,Arizona AZ,8377 East Hartford Drive Suite 100 Scottsdale Arizona AZ 85255 United States,33.6405583,-111.9016663
Software & Computer Services,8470,599,ZENDESK INC,2068309,2740,California CA,1019 Market Street San Francisco  California CA 94103 United States,37.7814619,-122.4104021
Household Products,8458,9984,MOHAWK INDUSTRIES INC,20964,42100,Georgia GA,160 South Industrial Boulevard Calhoun  Georgia GA 30701 United States,34.4724813,-84.9434654
Aerospace & Defence,8454,7222,SPIRIT AEROSYSTEMS HOLDINGS INC,892481,17000,Kansas KS,3801 South Oliver Wichita  Kansas KS 67210 United States,37.6231566,-97.2848444
Banks,8382,2537,EURONET WORLDWIDE INC,11239,7100,Kansas KS,3500 College Boulevard Leawood  Kansas KS 66211 United States,38.9284078,-94.6268765
Electronic & Electrical Equipment,8335,3090,QORVO INC,2204149,8100,North Carolina NC,7628 Thorndike Road Greensboro  North Carolina NC 27409-9421 United States,36.0763408,-79.9651702
Construction & Building Materials,8247,3741,SNAP-ON INC,28335,12600,Wisconsin WI,2801 80th Street Kenosha  Wisconsin WI 53143-5656 United States,42.556708,-87.843003
Software & Computer Services,8180,500,ASPEN TECHNOLOGY INC,1649258,1466,Massachusetts MA,20 Crosby Drive Bedford  Massachusetts MA 01730 United States,42.5078187,-71.2456988
Software & Computer Services,8166,2161,F5 NETWORKS INC,11468,4409,Washington WA,401 Elliot Avenue West Seattle  Washington WA 98119 United States,47.6224109,-122.3638301
Speciality & Other Finance,8157,1337,ARES CAPITAL CORPORATION,650003,,New York NY,245 Park Avenue 44th Floor  New York NY 10167 United States,40.7545475,-73.9745088
Media & Entertainment,8145,9714,INTERPUBLIC GROUP OF COMPANIES INC,16427,54000,New York NY,909 Third Avenue   New York NY 10022 United States,40.7583293,-73.9679887
Real Estate,8095,705,LIBERTY PROPERTY TRUST,18819,271,Pennsylvania PA,650 East Swedesford Road Suite 400 Wayne Pennsylvania PA 19087 United States,40.0778819,-75.4139416
Oil & Gas,8057,8453,NATIONAL OILWELL VARCO INC,21553,35063,Texas TX,7909 Parkwood Circle Drive Houston  Texas TX 77036-6565 United States,29.6916115,-95.5545889
Engineering & Machinery,7992,2255,NORDSON CORP,22404,7536,Ohio OH,28601 Clemens Road Westlake  Ohio OH 44145 United States,41.4684974,-81.939519
Chemicals,7980,8635,WESTLAKE CHEMICAL CORP,488202,8870,Texas TX,2801 Post Oak Boulevard Suite 600 Houston Texas TX 77056 United States,29.7376123,-95.4601709
Transport,7959,10530,BORGWARNER INC,4839,30000,Michigan MI,3850 Hamlin Road Auburn Hills  Michigan MI 48326 United States,42.6458403,-83.2108611
Oil & Gas,7957,2188,CABOT OIL & GAS CORP,5465,303,Texas TX,Three Memorial City Plaza 840 Gessner Road Suite 1400 Houston Texas TX 77024 United States,29.7776626,-95.5426161
Real Estate,7928,1165,KIMCO REALTY CORP,17915,533,New York NY,3333 New Hyde Park Road New Hyde Park  New York NY 11042-0020 United States,40.7357692,-73.6811323
Engineering & Machinery,7893,2619,TORO CO,30955,6888,Minnesota MN,8111 Lyndale Avenue South Bloomington  Minnesota MN 55420-1196 United States,44.8572504,-93.2871696
Software & Computer Services,7892,7791,ALLIANCE DATA SYSTEMS CORP,1451,20000,Texas TX,7500 Dallas Parkway Suite 700 Plano Texas TX 75024 United States,33.0809403,-96.8236276
Diversified Industrials,7868,4480,CARLISLE COS INC,5852,13000,Arizona AZ,16430 North Scottsdale Road Suite 400 Scottsdale Arizona AZ 85254 United States,33.6355592,-111.9268181
Food Producers & Processors,7822,45743,BUNGE LTD,5320,31000,New York NY,50 Main Street White Plains  New York NY 10606 United States,41.0313991,-73.7735956
Real Estate,7814,747,KILROY REALTY CORP,17908,276,California CA,12200 West Olympic Boulevard Suite 200 Los Angeles California CA 90064 United States,34.0316641,-118.4554446
Business Services,7809,1900,SERVICEMASTER GLOBAL HOLDINGS INC,2079931,10700,Tennessee TN,150 Peabody Place Memphis  Tennessee TN 38103 United States,35.1411338,-90.0520541
Software & Computer Services,7805,661,GUIDEWIRE SOFTWARE INC,1792728,2292,California CA,1001 E Hillsdale Boulevard Suite 800 Foster City  California CA 94404 United States,37.5594762,-122.2718526
Telecommunication Services,7751,1017,UBIQUITI INC ,1729162,843,New York NY,685 Third Avenue 27th Floor  New York NY 10017 United States,40.751491,-73.9735965
Real Estate,7596,972,APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO),2310,1050,Colorado CO,4582 South Ulster Street Suite 1100 Denver Colorado CO 80237 United States,39.6333956,-104.8984695
Wholesale Trade,7550,2998,POOL CORP ,27358,4000,Louisiana LA,109 Northpark Boulevard Covington  Louisiana LA 70433-5001 United States,30.4416472,-90.0873601
Telecommunication Services,7449,13621,DISH NETWORK CORP ,10024,16000,Colorado CO,9601 South Meridian Boulevard Englewood  Colorado CO 80112 United States,39.5457044,-104.8561335
Insurance,7388,8058,ASSURANT INC,550072,14750,New York NY,28 Liberty Street 41st Floor  New York NY 10005 United States,40.708227,-74.0090809
Software & Computer Services,7260,746,CERIDIAN HCM HOLDING INC,2810622,4444,Minnesota MN,3311 East Old Shakopee Road  Minneapolis Minnesota MN 55425-1640 United States,44.8544651,-93.2246647
Telecommunication Services,7244,1072,CABLE ONE INC,2300967,2224,Arizona AZ,210 East Earll Drive Phoenix  Arizona AZ 85012 United States,33.4841866,-112.070226
Real Estate,7188,1073,AMERICAN HOMES 4 RENT,1969498,1234,California CA,30601 Agoura Road Suite 200 Agoura Hills California CA 91301 United States,34.1455631,-118.7877523
Information Technology Hardware,7141,2567,LOGITECH INTERNATIONAL SA,19084,6100,California CA,7700 Gateway Boulevard Newark  California CA 94560 United States,37.5385288,-122.0616084
Telecommunication Services,7002,821,CYRUSONE INC,1925418,448,Texas TX,2101 Cedar Springs Road Suite 900 Dallas Texas TX 75201 United States,32.7940761,-96.8063384
General Retailers,6994,1560,FIVE BELOW INC,1874195,13900,Pennsylvania PA,701 Market Street Suite 300 Philadelphia Pennsylvania PA 19106 United States,39.9512937,-75.1526227
Electronic & Electrical Equipment,6948,4482,HUBBELL INC,15173,19700,Connecticut CT,40 Waterview Drive Shelton  Connecticut CT 06484-1000 United States,41.296005,-73.0808096
Wholesale Trade,6872,2802,COLUMBIA SPORTSWEAR CO,7358,6511,Oregon OR,14375 North West Science Park Drive Portland  Oregon OR 97229 United States,45.5295092,-122.8248278
Real Estate,6804,1604,AMERICOLD REALTY TRUST,2763957,11000,Georgia GA,10GlenlakeParkway Suite600 South Tower Atlanta Georgia GA 30328 United States,33.9360529,-84.3616362
Software & Computer Services,6769,254,ALTERYX INC,2638015,800,California CA,3345 Michelson Drive Suite 400 Irvine California CA 92612 United States,33.67127,-117.8408437
Leisure & Hotels,6712,1322,DUNKIN BRANDS GROUP INC,1714415,1107,Massachusetts MA,130 Royall Street Canton  Massachusetts MA 02021 United States,42.207401,-71.1300247
Real Estate,6684,1109,STARWOOD PROPERTY TRUST INC,1586322,290,Connecticut CT,591 West Putnam Avenue Greenwich  Connecticut CT 06830 United States,41.0178496,-73.647521
Banks,6621,1732,SIGNATURE BANK,733497,1393,New York NY,565 Fifth Avenue   New York NY 10017 United States,40.755916,-73.9784785
Engineering & Machinery,6559,11535,RELIANCE STEEL & ALUMINUM CO,26008,15600,California CA,350 South Grand Avenue Suite 5100 Los Angeles California CA 90071 United States,34.0522461,-118.2514474
Chemicals,6524,4696,AXALTA COATING SYSTEMS LTD,2166082,14000,Pennsylvania PA,Two Commerce Square 2001 Market Street Suite 3600 Philadelphia Pennsylvania PA 19103 United States,39.9541627,-75.1737313
Consumer Services,6483,1783,CHEMED CORP ,6573,15707,Ohio OH,255 East Fifth Street Suite 2600 Cincinnati Ohio OH 45202-4726 United States,39.1016183,-84.5083716
Real Estate,6425,1227,SL GREEN REALTY CORP,28228,1058,New York NY,420 Lexington Avenue   New York NY 10170 United States,40.7527814,-73.9759322
Real Estate,6344,881,AMERICAN CAMPUS COMMUNITIES INC,602424,3098,Texas TX,12700 Hill Country Boulevard Suite T-200 Austin Texas TX 78738 United States,30.307522,-97.9363884
Electronic & Electrical Equipment,6301,3188,SMITH (AO) CORP,28304,16300,Wisconsin WI,11270 West Park Place Suite 170 Post Office Box 245008 Milwaukee Wisconsin WI 53224-9508 United States,43.149703,-88.046171
Transport,6264,2349,GENESEE & WYOMING INC,13057,8000,Connecticut CT,20 West Avenue Darien  Connecticut CT 06820 United States,41.0777331,-73.470962
Food & Drug Retailers,6240,9353,CASEY'S GENERAL STORES INC,5971,36841,Iowa IA,One Southeast Convenience Boulevard Post Office Box 3001 Ankeny Iowa IA 50021 United States,41.6951763,-93.5715256
Leisure & Hotels,6228,573,PLANET FITNESS INC,2317628,1302,New Hampshire NH,4 Liberty Lane West Hampton  New Hampshire NH 03842 United States,42.94973,-70.861348
Leisure & Hotels,9575,2012,VAIL RESORTS INC,32214,6100,Colorado CO,390 Interlocken Crescent Broomfield  Colorado CO 80021 United States,39.9253372,-105.115069
Real Estate,9524,623,NATIONAL RETAIL PROPERTIES INC ,7422,68,Florida FL,450 South Orange Avenue Suite 900 Orlando Florida FL 32801 United States,28.5370565,-81.379337
Oil & Gas,9371,6582,MARATHON OIL CORP ,32067,2400,Texas TX,5555 San Felipe Street Houston  Texas TX 77056-2723 United States,29.7493564,-95.4715705
Health,9351,11405,DAVITA INC ,8783,77700,Colorado CO,2000 16th Street Denver  Colorado CO 80202 United States,39.7535072,-105.00415
Electronic & Electrical Equipment,9271,769,ABIOMED INC,481,1371,Massachusetts MA,22 Cherry Hill Drive Danvers  Massachusetts MA 01923 United States,42.5769634,-70.9169998
Chemicals,9244,10151,EASTMAN CHEMICAL CO,9940,14500,Tennessee TN,200 South Wilcox Drive Kingsport  Tennessee TN 37662 United States,36.5354128,-82.5508778
Insurance,9136,7150,AMERICAN FINANCIAL GROUP INC,1822,6700,Ohio OH,301 East Fourth Street Cincinnati  Ohio OH 45202 United States,39.0997439,-84.5072255
Speciality & Other Finance,9000,1624,SEI INVESTMENTS CO,27515,3852,Pennsylvania PA,1 Freedom Valley Drive Oaks  Pennsylvania PA 19456 United States,40.1414246,-75.4473028
Containers & Packaging,8938,16285,WESTROCK CO,2302775,45100,Georgia GA,1000 Abernathy Road North East Suite 125 Atlanta Georgia GA 30328 United States,33.9343834,-84.3544514
Business Services,8892,1493,WEX INC ,97122,3700,Maine ME,1 Hancock Street Portland  Maine ME 04101 United States,43.6603544,-70.2472189
Business Services,8822,4226,IRON MOUNTAIN INC,17012,9000,Massachusetts MA,One Federal Street Boston  Massachusetts MA 02110 United States,42.3560074,-71.056796
Pharmaceuticals and Biotechnology,8748,451,NEUROCRINE BIOSCIENCES INC,21929,585,California CA,12780 El Camino Real San Diego  California CA 92130 United States,32.949844,-117.237481
Pharmaceuticals and Biotechnology,8693,90,SAGE THERAPEUTICS INC,2125688,637,Massachusetts MA,215 First Street Cambridge  Massachusetts MA 02142 United States,42.364292,-71.0792115
Health,8579,564,INSULET CORPORATION,862492,1169,Massachusetts MA,100 Nagog Park Acton  Massachusetts MA 01720 United States,42.523724,-71.422163
Food Producers & Processors,8476,24175,US FOODS HOLDING CORP,2463669,25000,Illinois IL,9399 West Higgins Road Suite 100 Rosemont Illinois IL 60018 United States,41.988686,-87.8577719
Electronic & Electrical Equipment,8468,2484,CYPRESS SEMICONDUCTOR CORP,8542,5846,California CA,198 Champion Court San Jose  California CA 95134 United States,37.4103081,-121.9505551
Software & Computer Services,8457,4648,JUNIPER NETWORKS INC,17580,9283,California CA,1133 Innovation Way Sunnyvale  California CA 94089 United States,37.4074689,-122.0293159
Software & Computer Services,8342,513,HUBSPOT INC,2155226,2638,Massachusetts MA,25 First Street Cambridge  Massachusetts MA 02141 United States,42.3697647,-71.0773545
Oil & Gas,8256,10484,TARGA RESOURCES CORP,1676064,2460,Texas TX,811 Louisiana Street Suite 2100 Houston Texas TX 77002 United States,29.7592922,-95.3663131
General Retailers,8226,20229,KOHLS CORP,18060,129000,Wisconsin WI,N56 W17000 Ridgewood Drive Menomonee Falls  Wisconsin WI 53051 United States,43.121978,-88.12319
Health,8167,18890,MOLINA HEALTHCARE INC,423374,11000,California CA,200 Oceangate Suite 100 Long Beach California CA 90802 United States,33.7665116,-118.2006675
Publishing,8158,9024,NEWS CORP,1962516,28000,New York NY,1211 Avenue of the Americas   New York NY 10036 United States,40.7586113,-73.9822089
Clothing & Personal Products,8118,5193,UNDER ARMOUR INC,786736,15000,Maryland MD,1020 Hull Street Baltimore  Maryland MD 21230 United States,39.275091,-76.5913832
Health,8061,858,MASIMO CORP,480061,4500,California CA,52 Discovery Irvine  California CA 92618 United States,33.662523,-117.7569451
Software & Computer Services,8006,2604,ZAYO GROUP HOLDINGS INC,2157621,3774,Colorado CO,1821 30th Street Unit A Boulder Colorado CO 80301 United States,40.0187049,-105.254867
Clothing & Personal Products,7983,9398,COTY INC,1958357,20000,New York NY,350 Fifth Avenue 17th Floor  New York NY 10118 United States,40.7482436,-73.9851073
Engineering & Machinery,7972,1653,GRACO INC,13715,3700,Minnesota MN,88-11th Avenue North East Minneapolis  Minnesota MN 55413 United States,44.9970428,-93.2686715
Software & Computer Services,7940,1334,ZILLOW GROUP INC ,1713327,4336,Washington WA,1301 Second Avenue Floor 31 Seattle Washington WA 98101 United States,47.6074856,-122.3382418
Banks,7816,3033,ZIONS BANCORPORATION NA ,34139,10201,Utah UT,One South Main Street 11th Floor Salt Lake City Utah UT 84133-1109 United States,40.7343034,-111.8910781
Chemicals,7782,9587,MOSAIC CO,550358,12900,Minnesota MN,3033 Campus Drive Suite E490 Plymouth Minnesota MN 55441 United States,45.0154081,-93.4546338
Software & Computer Services,7729,190,ZSCALER INC,2793558,1050,California CA,110 Rose Orchard Way San Jose  California CA 95134 United States,37.4159574,-121.9479801
Household Products,7585,5485,FORTUNE BRANDS HOME & SECURITY INC ,1726944,25300,Illinois IL,520 Lake Cook Road Deerfield  Illinois IL 60015 United States,42.1561165,-87.8426199
Automobiles & Parts,7577,11877,LKQ CORPORATION INC,463860,51000,Illinois IL,500 West Madison Street Suite 2800 Chicago Illinois IL 60661 United States,41.8823062,-87.6403882
Real Estate,7523,881,DOUGLAS EMMETT INC,917238,670,California CA,1299 Ocean Avenue Suite 1000 Santa Monica California CA 90401 United States,34.0160875,-118.4994019
Engineering & Machinery,7480,806,COGNEX CORP,7251,2124,Massachusetts MA,One Vision Drive Natick  Massachusetts MA 01760-2059 United States,42.293228,-71.3609553
Software & Computer Services,7453,1242,PTC INC ,23786,6110,Massachusetts MA,121 Seaport Boulevard Boston  Massachusetts MA 02210 United States,42.3510789,-71.0444781
Pharmaceuticals and Biotechnology,7416,714,BIO-TECHNE CORP ,30123,2250,Minnesota MN,614 McKinley Place North East Minneapolis  Minnesota MN 55413 United States,44.9958046,-93.2291042
General Retailers,7340,6779,WAYFAIR INC,2153633,12124,Massachusetts MA,4 Copley Place Boston  Massachusetts MA 02116 United States,42.3471179,-71.0783565
Food Producers & Processors,7277,6257,POST HOLDINGS INC,1794428,11550,Missouri MO,2503 South Hanley Road Saint Louis  Missouri MO 63144 United States,38.616533,-90.3349107
Food Producers & Processors,7244,10938,PILGRIMS PRIDE CORP,1615625,31100,Colorado CO,1770 Promontory Circle Greeley  Colorado CO 80634-9038 United States,40.4118839,-104.8547872
Electronic & Electrical Equipment,7229,5878,ON SEMICONDUCTOR CORP,23134,35700,Arizona AZ,5005 East McDowell Road Phoenix  Arizona AZ 85008 United States,33.4625944,-111.972991
Software & Computer Services,7129,,SLACK TECHNOLOGIES INC,3046780,,California CA,500 Howard Street San Francisco  California CA 94105 United States,37.7885306,-122.3967284
Aerospace & Defence,7128,2189,HEXCEL CORP,14728,6626,Connecticut CT,Two Stamford Plaza 281 Tresser Boulevard 16th Floor Stamford Connecticut CT 06901-3261 United States,41.0518308,-73.5342297
Real Estate,7104,16318,JONES LANG LASALLE INC,44349,90000,Illinois IL,200 East Randolph Drive Chicago  Illinois IL 60601 United States,41.8852827,-87.6215123
Software & Computer Services,7058,717,PROOFPOINT INC,1813890,2613,California CA,892 Ross Drive Sunnyvale  California CA 94089 United States,37.4006086,-122.0321579
Automobiles & Parts,6998,3769,AMERCO,1974,30000,Nevada NV,5555 Kietzke Lane Suite 100 Reno Nevada NV 89511 United States,39.4633025,-119.7888796
Life Assurance,6970,8514,VOYA FINANCIAL INC ,1949535,6000,New York NY,230 Park Avenue   New York NY 10169 United States,40.754455,-73.9760113
Insurance,6911,6022,OLD REPUBLIC INTERNATIONAL CORP,23052,9000,Illinois IL,307 North Michigan Avenue Chicago  Illinois IL 60601 United States,41.8870731,-87.6242091
Containers & Packaging,6911,4733,SEALED AIR CORP,27418,15500,North Carolina NC,2415 Cascade Pointe Boulevard Charlotte  North Carolina NC 28208 United States,35.1985704,-80.9186135
Media & Entertainment,6815,1627,LAMAR ADVERTISING CO,18385,3600,Louisiana LA,5321 Corporate Boulevard Baton Rouge  Louisiana LA 70808 United States,30.4255441,-91.1347773
Health,6809,968,HAEMONETICS CORP,14181,3216,Massachusetts MA,400 Wood Road Braintree  Massachusetts MA 02184 United States,42.2152202,-71.0432767
Transport,6795,1834,GENTEX CORP,13104,5707,Michigan MI,600 North Centennial Street Zeeland  Michigan MI 49464 United States,42.8229727,-86.012458
Engineering & Machinery,6781,3831,WABCO HOLDINGS INC,947073,16135,Michigan MI,1220 Pacific Drive Auburn Hills  Michigan MI 48326-1589 United States,42.695394,-83.276982
Software & Computer Services,6763,3867,SABRE CORP,2061984,8860,Texas TX,3150 Sabre Drive Southlake  Texas TX 76092 United States,32.9826089,-97.1608815
